출하일자,도,시군,총출하량,판매금액,총면적,식부면적,경작 평수,단위면적 당 판매금액,단위면적 당 출하량
2021-03-08,전남,화순,533.0,2502257.0,3600,2000.0,604.9972775122512,4135.9805953,0.8809956999999999
2021-03-15,전남,화순,8.0,82741.0,3600,2000.0,604.9972775122512,136.7625989,0.0132232
2021-03-15,전남,화순,22.0,213244.0,3600,2000.0,604.9972775122512,352.4710076,0.036363799999999995
2021-03-15,전남,화순,97.0,732648.0,3600,2000.0,604.9972775122512,1210.9938792,0.16033129999999998
2021-03-15,전남,화순,329.0,1966796.0,3600,2000.0,604.9972775122512,3250.9171084,0.5438041
2021-03-15,전남,화순,624.0,2178462.0,3600,2000.0,604.9972775122512,3600.7798398,1.0314096
2021-03-22,전남,화순,11.0,116324.0,3600,2000.0,604.9972775122512,192.2719396,0.018181899999999997
2021-03-22,전남,화순,17.0,177585.0,3600,2000.0,604.9972775122512,293.5302465,0.028099299999999997
2021-03-22,전남,화순,84.0,558046.0,3600,2000.0,604.9972775122512,922.3942334,0.13884359999999998
2021-03-22,전남,화순,313.0,1734323.0,3600,2000.0,604.9972775122512,2866.6624867,0.5173576999999999
2021-03-22,전남,화순,437.0,1324387.0,3600,2000.0,604.9972775122512,2189.0792723,0.7223172999999999
2021-03-29,전남,화순,15.0,148167.0,3600,2000.0,604.9972775122512,244.9052343,0.0247935
2021-03-29,전남,화순,26.0,223828.0,3600,2000.0,604.9972775122512,369.9653012,0.0429754
2021-03-29,전남,화순,126.0,782346.0,3600,2000.0,604.9972775122512,1293.1397034,0.2082654
2021-03-29,전남,화순,312.0,1602212.0,3600,2000.0,604.9972775122512,2648.2962147999997,0.5157048
2021-03-29,전남,화순,422.0,1178914.0,3600,2000.0,604.9972775122512,1948.6269505999999,0.6975237999999999
2021-04-05,전남,화순,5.0,49637.0,3600,2000.0,604.9972775122512,82.04499729999999,0.0082645
2021-04-05,전남,화순,16.0,147256.0,3600,2000.0,604.9972775122512,243.3994424,0.0264464
2021-04-05,전남,화순,100.0,659127.0,3600,2000.0,604.9972775122512,1089.4710183,0.16529
2021-04-05,전남,화순,321.0,1663309.0,3600,2000.0,604.9972775122512,2749.2834460999998,0.5305809
2021-04-05,전남,화순,492.0,1431268.0,3600,2000.0,604.9972775122512,2365.7428772,0.8132267999999999
2021-04-12,전남,화순,13.0,132661.0,3600,2000.0,604.9972775122512,219.2753669,0.0214877
2021-04-12,전남,화순,21.0,206479.0,3600,2000.0,604.9972775122512,341.2891391,0.034710899999999996
2021-04-12,전남,화순,100.0,666889.0,3600,2000.0,604.9972775122512,1102.3008281,0.16529
2021-04-12,전남,화순,276.0,1341129.0,3600,2000.0,604.9972775122512,2216.7521241,0.45620039999999995
2021-04-12,전남,화순,357.0,1049138.0,3600,2000.0,604.9972775122512,1734.1202002,0.5900852999999999
2021-04-19,전남,화순,9.0,88195.0,3600,2000.0,604.9972775122512,145.7775155,0.0148761
2021-04-19,전남,화순,21.0,202491.0,3600,2000.0,604.9972775122512,334.6973739,0.034710899999999996
2021-04-19,전남,화순,113.0,735207.0,3600,2000.0,604.9972775122512,1215.2236503,0.1867777
2021-04-19,전남,화순,301.0,1430350.0,3600,2000.0,604.9972775122512,2364.225515,0.4975229
2021-04-19,전남,화순,218.0,634603.0,3600,2000.0,604.9972775122512,1048.9352987,0.3603322
2021-04-26,전남,화순,13.0,118398.0,3600,2000.0,604.9972775122512,195.70005419999998,0.0214877
2021-04-26,전남,화순,28.0,243718.0,3600,2000.0,604.9972775122512,402.8414822,0.046281199999999995
2021-04-26,전남,화순,146.0,923412.0,3600,2000.0,604.9972775122512,1526.3076947999998,0.2413234
2021-04-26,전남,화순,350.0,1508998.0,3600,2000.0,604.9972775122512,2494.2227942,0.578515
2021-04-26,전남,화순,310.0,864167.0,3600,2000.0,604.9972775122512,1428.3816342999999,0.5123989999999999
